alum_id,cohort_year,entry_academic_rating,entry_hs_gpa_recalc,entry_testing_policy,entry_sat_total,entry_region,entry_hs_type,entry_first_generation,entry_family_income_band,entry_institutional_aid,entry_intended_school,entry_intended_major,entry_athletic_recruit_sport,entry_demonstrated_interest_rating,final_school,final_major,first_year_gpa,final_cum_gpa,gpa_delta,retained_year2,graduated_4yr,graduated_6yr,academic_probation_ever,major_changes,leadership_roles_count,varsity_seasons,team_captain,honors_thesis,latin_honors,internships_count,study_abroad,postgrad_status_6mo,success_attainment,success_growth,success_completion,success_contribution,exemplar_flag,success_composite_tier
L2023-10172,2023,3,3.62,Submitted,1200,Mid-Atlantic,Private - Independent,N,Under $30K,26100,College of Arts & Sciences,Biology,Field Hockey,3,College of Arts & Sciences,Biology,2.76,2.55,-0.21,N,N,N,N,0,2,4,N,N,N,3,N,Employed full-time,0.42,0.2277,0.15,0.3636,N,Tier 4 - Struggled
L2024-10173,2024,2,3.45,Test Optional,,Mid-Atlantic,Charter,N,$30K - $59K,36400,College of Arts & Sciences,Political Science,,4,College of Arts & Sciences,Political Science,3.18,3.48,0.30,Y,Y,Y,N,0,2,0,N,N,N,1,N,Employed full-time,0.792,0.7327,1.0,0.3636,Y,Tier 1 - Thrived
L2025-10174,2025,3,3.74,Submitted,1230,South,Home School,N,$100K - $149K,40100,School of Engineering,Electrical Engineering,,5,School of Engineering,Electrical Engineering,3.20,3.19,-0.01,Y,Y,Y,N,0,1,0,N,N,N,1,N,Seeking,0.676,0.4257,1.0,0.1818,N,Tier 3 - Solid
L2019-10175,2019,3,3.78,Submitted,1270,Mid-Atlantic,Public,N,$100K - $149K,52700,School of Business,Business Analytics,,3,School of Business,Business Analytics,2.69,2.84,0.15,Y,Y,Y,Y,1,2,0,N,N,N,1,N,Graduate or professional school,0.536,0.5842,0.85,0.3636,N,Tier 3 - Solid
L2020-10176,2020,2,3.49,Submitted,1220,International,Public,N,Under $30K,50100,College of Arts & Sciences,English,,2,College of Arts & Sciences,Chemistry,2.28,2.35,0.07,Y,Y,Y,N,0,1,0,N,N,N,0,N,Employed full-time,0.34,0.505,1.0,0.1818,N,Tier 4 - Struggled
L2021-10177,2021,4,4.10,Submitted,1430,Mid-Atlantic,Charter,N,$30K - $59K,38500,School of Business,Accounting,,5,School of Business,Supply Chain Management,3.29,3.73,0.44,Y,Y,Y,N,2,2,0,N,N,Y,1,N,Graduate or professional school,0.892,0.8713,1.0,0.3636,Y,Tier 1 - Thrived
L2022-10178,2022,1,2.83,Submitted,1110,New England,Public,N,$150K - $249K,31400,College of Arts & Sciences,Biology,,4,College of Arts & Sciences,Biology,2.67,2.90,0.23,Y,Y,Y,N,1,1,0,N,N,N,3,N,Employed full-time,0.56,0.6634,1.0,0.1818,N,Tier 3 - Solid
L2023-10179,2023,4,4.00,Test Optional,,South,International School,N,Under $30K,7100,College of Arts & Sciences,Psychology,,3,College of Arts & Sciences,Psychology,3.87,4.00,0.13,Y,Y,Y,N,0,2,0,N,N,N,2,N,Employed full-time,1.0,0.5644,1.0,0.3636,Y,Tier 1 - Thrived
L2024-10180,2024,3,3.77,Test Optional,,Mid-Atlantic,Public,N,$30K - $59K,37900,School of Nursing & Health,Exercise Science,,4,School of Nursing & Health,Exercise Science,3.49,3.69,0.20,Y,Y,Y,N,0,3,0,N,Y,Y,1,N,Seeking,0.876,0.6337,1.0,0.8182,Y,Tier 1 - Thrived
L2025-10181,2025,3,3.66,Test Optional,,New England,Public,Y,$60K - $99K,14500,College of Fine Arts,Studio Art,,1,College of Fine Arts,Studio Art,3.67,4.00,0.33,Y,Y,Y,N,1,2,0,N,N,Y,2,N,Employed full-time,1.0,0.7624,1.0,0.3636,Y,Tier 1 - Thrived
L2019-10182,2019,1,2.92,Test Optional,,West,Charter,N,Under $30K,11500,College of Arts & Sciences,Chemistry,,4,College of Arts & Sciences,Political Science,2.27,2.31,0.04,N,N,N,N,0,0,0,N,N,N,0,Y,Employed full-time,0.324,0.4752,0.15,0.0,N,Tier 4 - Struggled
L2020-10183,2020,3,3.67,Submitted,1290,Mid-Atlantic,Public,N,$150K - $249K,27300,College of Arts & Sciences,Neuroscience,,3,College of Arts & Sciences,Environmental Science,3.74,4.00,0.26,Y,Y,Y,N,1,2,0,N,N,Y,1,N,Graduate or professional school,1.0,0.6931,1.0,0.3636,Y,Tier 1 - Thrived
L2021-10184,2021,3,3.40,Test Optional,,South,Private - Independent,N,$30K - $59K,52500,College of Arts & Sciences,Chemistry,,5,College of Arts & Sciences,Chemistry,3.17,3.14,-0.03,Y,Y,Y,Y,0,0,0,N,N,N,2,Y,Seeking,0.656,0.4059,0.85,0.0,N,Tier 4 - Struggled
L2022-10185,2022,3,3.62,Test Optional,,Mid-Atlantic,Public,N,$150K - $249K,14700,School of Engineering,Computer Science,,5,School of Engineering,Computer Science,3.16,3.04,-0.12,Y,Y,Y,N,0,1,0,N,N,N,0,N,Graduate or professional school,0.616,0.3168,1.0,0.1818,N,Tier 4 - Struggled
L2023-10186,2023,3,3.54,Test Optional,,Mid-Atlantic,Public,N,$60K - $99K,51200,School of Nursing & Health,Health Administration,,3,School of Nursing & Health,Public Health,3.41,3.56,0.15,Y,Y,Y,N,1,0,0,N,N,N,3,N,Employed full-time,0.824,0.5842,1.0,0.0,N,Tier 3 - Solid
L2024-10187,2024,3,3.61,Submitted,1300,Midwest,Public,N,$30K - $59K,7300,School of Engineering,Civil Engineering,,3,School of Engineering,Biomedical Engineering,3.24,3.19,-0.05,Y,Y,Y,Y,2,3,0,N,N,N,1,Y,Fellowship,0.676,0.3861,0.85,0.5455,N,Tier 3 - Solid
L2025-10188,2025,3,3.73,Submitted,1330,Mid-Atlantic,Private - Independent,Y,Under $30K,7400,College of Arts & Sciences,Environmental Science,,4,College of Arts & Sciences,Environmental Science,3.20,3.53,0.33,Y,Y,Y,N,3,0,0,N,N,N,2,N,Graduate or professional school,0.812,0.7624,1.0,0.0,N,Tier 2 - Strong
L2019-10189,2019,2,3.30,Test Optional,,Mid-Atlantic,Private - Independent,N,$100K - $149K,8800,School of Business,Business Analytics,,3,School of Business,Business Analytics,3.43,3.49,0.06,Y,Y,Y,N,3,2,0,N,N,N,1,N,Employed full-time,0.796,0.495,1.0,0.3636,N,Tier 2 - Strong
L2020-10190,2020,2,3.31,Submitted,1140,International,Private - Independent,Y,Under $30K,9000,College of Fine Arts,Music Performance,,2,College of Fine Arts,Music Performance,3.00,3.20,0.20,Y,N,Y,N,0,0,0,N,N,N,2,N,Employed full-time,0.68,0.6337,0.6,0.0,N,Tier 4 - Struggled
L2021-10191,2021,3,3.72,Submitted,1370,Mid-Atlantic,Public,N,$150K - $249K,53400,School of Business,Management,,4,School of Business,Management,2.92,2.98,0.06,N,N,N,N,0,3,0,N,N,N,1,Y,Graduate or professional school,0.592,0.495,0.15,0.5455,N,Tier 4 - Struggled
L2022-10192,2022,4,3.79,Submitted,1310,West,Public,N,$150K - $249K,47700,College of Arts & Sciences,Mathematics,,4,College of Arts & Sciences,Mathematics,3.32,3.43,0.11,Y,Y,Y,Y,3,2,0,N,N,N,2,N,Seeking,0.772,0.5446,0.85,0.3636,N,Tier 2 - Strong
L2023-10193,2023,2,3.22,Test Optional,,Mid-Atlantic,Parochial,N,$150K - $249K,24700,College of Arts & Sciences,History,,5,College of Arts & Sciences,Mathematics,2.52,2.41,-0.11,N,N,N,N,0,0,0,N,N,N,2,N,Employed full-time,0.364,0.3267,0.15,0.0,N,Tier 4 - Struggled
L2024-10194,2024,3,3.60,Test Optional,,International,Public,N,$60K - $99K,60800,College of Arts & Sciences,Undeclared,,3,College of Arts & Sciences,Undeclared,2.84,2.90,0.06,Y,Y,Y,N,0,2,0,N,N,N,2,N,Graduate or professional school,0.56,0.495,1.0,0.3636,N,Tier 3 - Solid
L2025-10195,2025,4,4.02,Submitted,1440,South,Public,N,$150K - $249K,6300,College of Arts & Sciences,Environmental Science,,2,College of Arts & Sciences,Biology,4.00,4.00,0.00,Y,Y,Y,N,2,0,0,N,Y,Y,3,Y,Employed full-time,1.0,0.4356,1.0,0.2727,Y,Tier 2 - Strong
L2019-10196,2019,3,3.41,Submitted,1230,Mid-Atlantic,Public,N,Under $30K,16000,College of Arts & Sciences,Chemistry,,4,College of Arts & Sciences,Communication,2.44,2.52,0.08,N,N,N,Y,1,0,0,N,Y,N,0,N,Fellowship,0.408,0.5149,0.0,0.2727,N,Tier 4 - Struggled
L2020-10197,2020,4,3.78,Submitted,1410,International,Public,N,$60K - $99K,9400,School of Nursing & Health,Public Health,,3,School of Nursing & Health,Exercise Science,2.79,3.00,0.21,Y,N,Y,Y,0,0,0,N,N,N,0,N,Employed full-time,0.6,0.6436,0.45,0.0,N,Tier 4 - Struggled
L2021-10198,2021,3,3.58,Submitted,1270,Mid-Atlantic,Public,N,$250K and above,18000,School of Engineering,Electrical Engineering,,5,School of Engineering,Electrical Engineering,2.45,2.66,0.21,Y,Y,Y,N,0,1,0,N,N,N,0,N,Employed full-time,0.464,0.6436,1.0,0.1818,N,Tier 3 - Solid
L2022-10199,2022,4,3.98,Submitted,1460,West,Parochial,Y,$30K - $59K,20500,School of Business,Management,Field Hockey,1,School of Business,Marketing,3.27,3.46,0.19,Y,Y,Y,N,3,1,2,N,N,N,3,Y,Employed full-time,0.784,0.6238,1.0,0.1818,N,Tier 2 - Strong
L2023-10200,2023,2,3.35,Submitted,1210,Southwest,Private - Independent,N,$30K - $59K,35600,School of Business,Marketing,,3,School of Business,Marketing,3.59,3.55,-0.04,N,N,N,N,0,0,0,N,Y,N,1,N,Graduate or professional school,0.82,0.396,0.15,0.2727,N,Tier 4 - Struggled
L2024-10201,2024,3,3.72,Submitted,1370,South,Private - Independent,Y,$150K - $249K,22300,School of Engineering,Mechanical Engineering,,3,School of Engineering,Mechanical Engineering,3.04,3.37,0.33,Y,Y,Y,N,0,1,0,N,N,N,2,N,Employed full-time,0.748,0.7624,1.0,0.1818,Y,Tier 2 - Strong
L2025-10202,2025,3,3.55,Submitted,1240,Mid-Atlantic,Public,N,$100K - $149K,42600,School of Business,Finance,,3,School of Business,Finance,3.03,3.15,0.12,Y,Y,Y,N,2,1,0,N,N,N,1,N,Graduate or professional school,0.66,0.5545,1.0,0.1818,N,Tier 3 - Solid
L2019-10203,2019,3,3.71,Submitted,1320,Southwest,Parochial,Y,$100K - $149K,14900,College of Arts & Sciences,Communication,,4,College of Arts & Sciences,Sociology,3.45,3.77,0.32,Y,Y,Y,Y,2,1,0,N,N,N,1,N,Graduate or professional school,0.908,0.7525,0.85,0.1818,Y,Tier 2 - Strong
L2020-10204,2020,2,3.38,Test Optional,,Mid-Atlantic,Public,N,$30K - $59K,41700,School of Business,Business Analytics,,3,School of Business,Marketing,2.72,2.76,0.04,Y,N,Y,N,0,3,0,N,N,N,2,N,Employed full-time,0.504,0.4752,0.6,0.5455,N,Tier 4 - Struggled
L2021-10205,2021,3,3.58,Submitted,1260,Mid-Atlantic,Public,N,$100K - $149K,36000,College of Arts & Sciences,Communication,,4,College of Arts & Sciences,English,3.07,2.96,-0.11,Y,N,N,N,0,0,0,N,N,N,1,Y,Employed full-time,0.584,0.3267,0.6,0.0,N,Tier 4 - Struggled
L2022-10206,2022,3,3.55,Submitted,1260,Southwest,Public,N,$30K - $59K,25700,School of Nursing & Health,Public Health,,4,School of Nursing & Health,Public Health,3.45,3.54,0.09,Y,Y,Y,N,2,2,0,N,N,N,1,N,Employed full-time,0.816,0.5248,1.0,0.3636,Y,Tier 2 - Strong
L2023-10207,2023,4,3.94,Test Optional,,Mid-Atlantic,Public,Y,$100K - $149K,16300,College of Arts & Sciences,Undeclared,,5,College of Arts & Sciences,Undeclared,3.03,3.11,0.08,Y,Y,Y,N,3,0,0,N,N,N,1,N,Employed full-time,0.644,0.5149,1.0,0.0,N,Tier 3 - Solid
L2024-10208,2024,3,3.66,Test Optional,,Mid-Atlantic,International School,Y,$60K - $99K,53000,School of Engineering,Electrical Engineering,,4,School of Engineering,Electrical Engineering,2.73,2.92,0.19,Y,Y,Y,N,0,2,0,N,Y,N,1,N,Employed full-time,0.568,0.6238,1.0,0.6364,Y,Tier 2 - Strong
L2025-10209,2025,1,3.01,Submitted,1060,South,Public,N,$60K - $99K,52400,College of Arts & Sciences,Political Science,,3,College of Arts & Sciences,Political Science,2.70,2.89,0.19,Y,Y,Y,N,3,2,0,N,N,N,1,N,Employed full-time,0.556,0.6238,1.0,0.3636,N,Tier 2 - Strong
L2019-10210,2019,2,3.42,Submitted,1230,Mid-Atlantic,Private - Independent,N,$100K - $149K,60700,School of Engineering,Chemical Engineering,,4,School of Engineering,Chemical Engineering,2.80,2.96,0.16,Y,Y,Y,N,1,0,0,N,N,N,2,N,Employed full-time,0.584,0.5941,1.0,0.0,N,Tier 3 - Solid
L2020-10211,2020,3,3.62,Test Optional,,Southwest,International School,N,$250K and above,35900,School of Nursing & Health,Exercise Science,,3,School of Nursing & Health,Exercise Science,2.36,1.92,-0.44,Y,Y,Y,N,0,0,0,N,N,N,0,N,Employed full-time,0.168,0.0,1.0,0.0,N,Tier 4 - Struggled
L2021-10212,2021,3,3.80,Submitted,1370,New England,Public,N,Under $30K,3800,School of Nursing & Health,Exercise Science,,3,School of Nursing & Health,Exercise Science,3.72,4.00,0.28,Y,Y,Y,N,0,1,0,N,N,Y,2,N,Fellowship,1.0,0.7129,1.0,0.1818,Y,Tier 1 - Thrived
L2022-10213,2022,4,3.91,Submitted,1390,Midwest,Public,N,$250K and above,58500,College of Arts & Sciences,History,,1,College of Arts & Sciences,History,2.73,2.86,0.13,Y,Y,Y,N,3,1,0,N,N,N,1,N,Seeking,0.544,0.5644,1.0,0.1818,N,Tier 3 - Solid
L2023-10214,2023,4,3.94,Submitted,1390,Mid-Atlantic,International School,N,$100K - $149K,41700,School of Business,Management,,3,School of Business,Finance,3.35,3.82,0.47,Y,Y,Y,N,1,0,0,N,N,N,3,Y,Employed full-time,0.928,0.901,1.0,0.0,Y,Tier 2 - Strong
L2024-10215,2024,3,3.45,Test Optional,,New England,Public,N,$150K - $249K,5700,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,2.82,3.10,0.28,Y,Y,Y,N,0,0,0,N,N,N,0,N,Employed full-time,0.64,0.7129,1.0,0.0,N,Tier 3 - Solid
L2025-10216,2025,3,3.63,Submitted,1270,International,Public,N,$100K - $149K,40300,College of Arts & Sciences,History,,3,College of Arts & Sciences,History,3.60,3.72,0.12,Y,Y,Y,N,2,4,0,N,N,Y,1,N,Employed full-time,0.888,0.5545,1.0,0.7273,Y,Tier 1 - Thrived
L2019-10217,2019,2,3.41,Submitted,1220,West,Parochial,Y,$250K and above,12100,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,3.67,3.55,-0.12,Y,Y,Y,N,1,3,0,N,N,N,1,N,Employed full-time,0.82,0.3168,1.0,0.5455,Y,Tier 2 - Strong
L2020-10218,2020,4,3.82,Test Optional,,International,Private - Independent,N,$250K and above,13400,School of Business,Management,,3,School of Business,Management,2.92,3.04,0.12,Y,Y,Y,N,2,2,0,N,N,N,1,N,Employed full-time,0.616,0.5545,1.0,0.3636,N,Tier 2 - Strong
L2021-10219,2021,3,3.72,Submitted,1420,Midwest,Public,N,Under $30K,22600,School of Engineering,Chemical Engineering,,3,School of Engineering,Chemical Engineering,2.60,2.56,-0.04,Y,Y,Y,N,0,1,0,N,N,N,3,Y,Employed full-time,0.424,0.396,1.0,0.1818,N,Tier 4 - Struggled
L2022-10220,2022,4,3.86,Submitted,1380,Mid-Atlantic,Private - Independent,Y,$250K and above,24500,College of Fine Arts,Studio Art,,5,College of Fine Arts,Studio Art,2.85,3.20,0.35,Y,Y,Y,N,3,3,0,N,Y,N,2,N,Graduate or professional school,0.68,0.7822,1.0,0.8182,Y,Tier 1 - Thrived
L2023-10221,2023,2,3.32,Submitted,1180,Mid-Atlantic,Private - Independent,Y,$30K - $59K,37100,College of Fine Arts,Music Performance,Men's Lacrosse,3,College of Fine Arts,Music Performance,2.89,3.31,0.42,Y,Y,Y,N,0,0,1,N,N,N,2,Y,Unknown,0.724,0.8515,1.0,0.0,N,Tier 2 - Strong
L2024-10222,2024,4,3.96,Submitted,1480,International,Public,N,$250K and above,58600,School of Nursing & Health,Nursing (BSN),,2,School of Nursing & Health,Nursing (BSN),3.05,3.10,0.05,Y,Y,Y,N,3,2,0,N,N,N,2,Y,Employed full-time,0.64,0.4851,1.0,0.3636,N,Tier 3 - Solid
L2025-10223,2025,2,3.52,Submitted,1200,Mid-Atlantic,Public,N,$30K - $59K,43200,School of Business,Supply Chain Management,,1,School of Business,Supply Chain Management,2.82,2.86,0.04,Y,Y,Y,N,0,0,0,N,N,N,1,Y,Employed full-time,0.544,0.4752,1.0,0.0,N,Tier 4 - Struggled
L2019-10224,2019,3,3.49,Test Optional,,Mid-Atlantic,Public,N,$250K and above,36700,School of Engineering,Electrical Engineering,,2,School of Engineering,Electrical Engineering,3.22,3.39,0.17,N,N,N,N,2,1,0,N,N,N,3,N,Seeking,0.756,0.604,0.15,0.1818,N,Tier 4 - Struggled
L2020-10225,2020,4,3.88,Test Optional,,Mid-Atlantic,Public,N,$30K - $59K,44600,College of Arts & Sciences,Environmental Science,,4,College of Arts & Sciences,Environmental Science,2.71,2.96,0.25,Y,Y,Y,N,0,2,0,N,N,N,1,N,Employed full-time,0.584,0.6832,1.0,0.3636,N,Tier 2 - Strong
L2021-10226,2021,3,3.53,Submitted,1260,South,Private - Independent,N,Not Reported,60900,School of Business,Supply Chain Management,,3,School of Business,Supply Chain Management,2.85,2.96,0.11,N,N,N,Y,0,3,0,N,N,N,0,N,Employed full-time,0.584,0.5446,0.0,0.5455,N,Tier 4 - Struggled
L2022-10227,2022,2,3.27,Submitted,1130,Mid-Atlantic,Parochial,N,$60K - $99K,3000,College of Arts & Sciences,History,,4,College of Arts & Sciences,History,2.72,2.95,0.23,Y,N,N,N,0,1,0,N,N,N,1,Y,Graduate or professional school,0.58,0.6634,0.6,0.1818,N,Tier 4 - Struggled
L2023-10228,2023,3,3.50,Submitted,1250,West,Parochial,N,$150K - $249K,200,School of Business,Business Analytics,,4,School of Business,Business Analytics,2.62,2.73,0.11,Y,Y,Y,N,0,1,0,N,N,N,2,N,Graduate or professional school,0.492,0.5446,1.0,0.1818,N,Tier 3 - Solid
L2024-10229,2024,3,3.61,Submitted,1210,South,Public,N,$60K - $99K,52800,School of Nursing & Health,Health Administration,,1,School of Nursing & Health,Public Health,3.46,3.81,0.35,Y,Y,Y,N,2,2,0,N,Y,N,2,N,Seeking,0.924,0.7822,1.0,0.6364,Y,Tier 1 - Thrived
L2025-10230,2025,3,3.59,Submitted,1300,Mid-Atlantic,Public,N,$60K - $99K,29900,School of Business,Marketing,Rowing,3,School of Business,Marketing,3.23,3.75,0.52,Y,N,Y,N,3,2,3,N,N,Y,2,N,Employed full-time,0.9,0.9505,0.6,0.3636,Y,Tier 2 - Strong
L2019-10231,2019,4,3.97,Submitted,1580,West,Public,N,$30K - $59K,10900,School of Business,Finance,,4,School of Business,Finance,3.42,3.95,0.53,Y,N,N,N,3,1,0,N,N,Y,2,N,Employed full-time,0.98,0.9604,0.6,0.1818,Y,Tier 2 - Strong
L2020-10232,2020,2,3.27,Submitted,1170,Midwest,Public,Y,$100K - $149K,8800,College of Arts & Sciences,History,,2,College of Arts & Sciences,History,3.64,3.84,0.20,Y,N,N,N,0,0,0,N,N,N,1,N,Graduate or professional school,0.936,0.6337,0.6,0.0,N,Tier 3 - Solid
L2021-10233,2021,4,3.90,Submitted,1440,South,Charter,N,$250K and above,7900,College of Arts & Sciences,Undeclared,,4,College of Arts & Sciences,Economics,3.31,3.56,0.25,Y,Y,Y,N,0,1,0,N,N,N,2,Y,Graduate or professional school,0.824,0.6832,1.0,0.1818,Y,Tier 2 - Strong
L2022-10234,2022,5,3.96,Submitted,1430,Mid-Atlantic,Private - Independent,N,$60K - $99K,55200,College of Arts & Sciences,Psychology,,5,College of Arts & Sciences,Psychology,3.06,3.19,0.13,Y,Y,Y,Y,1,1,0,N,N,N,1,N,Employed full-time,0.676,0.5644,0.85,0.1818,N,Tier 3 - Solid
L2023-10235,2023,4,4.05,Test Optional,,West,Public,Y,Not Reported,58700,School of Business,Business Analytics,,2,School of Business,Business Analytics,3.46,3.67,0.21,Y,N,Y,N,0,2,0,N,Y,Y,1,N,Employed full-time,0.868,0.6436,0.6,0.6364,Y,Tier 2 - Strong
L2024-10236,2024,4,4.05,Test Optional,,Midwest,Public,N,$30K - $59K,27900,School of Engineering,Biomedical Engineering,,4,School of Engineering,Biomedical Engineering,3.86,4.00,0.14,Y,Y,Y,N,0,1,0,N,Y,Y,2,Y,Graduate or professional school,1.0,0.5743,1.0,0.4545,Y,Tier 1 - Thrived
L2025-10237,2025,3,3.65,Submitted,1330,West,Private - Independent,N,$100K - $149K,33900,School of Nursing & Health,Exercise Science,,3,School of Nursing & Health,Exercise Science,2.84,2.93,0.09,Y,Y,Y,N,3,0,0,N,N,N,2,N,Employed full-time,0.572,0.5248,1.0,0.0,N,Tier 4 - Struggled
L2019-10238,2019,2,3.28,Test Optional,,New England,Public,N,$100K - $149K,61300,College of Arts & Sciences,English,,3,College of Arts & Sciences,English,2.69,2.98,0.29,Y,Y,Y,N,0,0,0,N,N,N,1,N,Employed full-time,0.592,0.7228,1.0,0.0,N,Tier 3 - Solid
L2020-10239,2020,2,3.43,Test Optional,,West,Public,N,$150K - $249K,9300,School of Engineering,Chemical Engineering,,2,School of Engineering,Chemical Engineering,2.26,2.21,-0.05,Y,Y,Y,N,0,0,0,N,N,N,0,N,Unknown,0.284,0.3861,1.0,0.0,N,Tier 4 - Struggled
L2021-10240,2021,3,3.74,Submitted,1320,Southwest,Public,N,Not Reported,52500,College of Arts & Sciences,Sociology,,2,College of Arts & Sciences,Sociology,3.35,3.37,0.02,Y,N,N,N,2,2,0,N,N,N,0,N,Employed full-time,0.748,0.4554,0.6,0.3636,N,Tier 3 - Solid
L2022-10241,2022,3,3.51,Test Optional,,International,Public,N,$100K - $149K,60400,School of Business,Management,,2,School of Business,Supply Chain Management,3.05,3.18,0.13,Y,Y,Y,N,2,0,0,N,N,N,2,N,Fellowship,0.672,0.5644,1.0,0.0,N,Tier 3 - Solid
L2023-10242,2023,5,4.17,Submitted,1540,Mid-Atlantic,Public,N,$30K - $59K,59800,College of Arts & Sciences,Environmental Science,,3,College of Arts & Sciences,Environmental Science,4.00,4.00,0.00,Y,Y,Y,N,0,2,0,N,Y,Y,2,N,Graduate or professional school,1.0,0.4356,1.0,0.6364,Y,Tier 1 - Thrived
L2024-10243,2024,2,3.13,Submitted,1170,New England,International School,Y,$30K - $59K,37500,School of Business,Marketing,,5,School of Business,Finance,3.18,3.36,0.18,Y,Y,Y,N,0,1,0,N,N,N,0,N,Graduate or professional school,0.744,0.6139,1.0,0.1818,N,Tier 2 - Strong
L2025-10244,2025,2,3.48,Test Optional,,South,Public,N,$30K - $59K,1700,School of Engineering,Civil Engineering,,4,School of Engineering,Mechanical Engineering,2.89,3.01,0.12,Y,Y,Y,N,0,0,0,N,N,N,2,Y,Employed full-time,0.604,0.5545,1.0,0.0,N,Tier 3 - Solid
L2019-10245,2019,4,3.83,Test Optional,,New England,Charter,N,Under $30K,51800,College of Arts & Sciences,Political Science,,4,College of Arts & Sciences,Political Science,3.10,3.59,0.49,N,N,N,N,0,1,0,N,N,N,1,Y,Employed full-time,0.836,0.9208,0.15,0.1818,N,Tier 4 - Struggled
L2020-10246,2020,2,3.31,Test Optional,,Mid-Atlantic,Public,N,$250K and above,5600,College of Arts & Sciences,History,,3,College of Arts & Sciences,History,2.95,3.10,0.15,Y,Y,Y,N,0,0,0,N,N,N,1,N,Graduate or professional school,0.64,0.5842,1.0,0.0,N,Tier 3 - Solid
L2021-10247,2021,3,3.69,Submitted,1320,West,Public,N,Under $30K,31100,School of Business,Marketing,,4,School of Business,Marketing,3.43,3.52,0.09,Y,Y,Y,N,1,1,0,N,N,N,0,Y,Seeking,0.808,0.5248,1.0,0.1818,N,Tier 3 - Solid
L2022-10248,2022,4,4.07,Submitted,1390,South,Private - Independent,N,$100K - $149K,17900,College of Arts & Sciences,History,,4,College of Arts & Sciences,History,3.45,3.61,0.16,Y,N,N,N,1,0,0,N,N,N,3,N,Fellowship,0.844,0.5941,0.6,0.0,N,Tier 4 - Struggled
L2023-10249,2023,2,3.36,Test Optional,,New England,Public,N,Under $30K,12800,School of Nursing & Health,Exercise Science,,3,School of Nursing & Health,Exercise Science,2.84,2.83,-0.01,N,N,N,Y,1,1,0,N,N,N,0,N,Employed full-time,0.532,0.4257,0.0,0.1818,N,Tier 4 - Struggled
L2024-10250,2024,4,4.14,Test Optional,,International,Public,Y,$30K - $59K,11400,School of Nursing & Health,Health Administration,Football,2,School of Nursing & Health,Health Administration,3.19,3.46,0.27,Y,Y,Y,N,2,2,4,N,N,N,4,N,Graduate or professional school,0.784,0.703,1.0,0.3636,Y,Tier 2 - Strong
L2025-10251,2025,3,3.83,Test Optional,,Mid-Atlantic,Public,N,$150K - $249K,1900,School of Business,Accounting,,4,School of Business,Accounting,2.54,2.52,-0.02,Y,Y,Y,N,1,0,0,N,N,N,0,N,Employed full-time,0.408,0.4158,1.0,0.0,N,Tier 4 - Struggled
L2019-10252,2019,2,3.40,Submitted,1090,Mid-Atlantic,Public,N,$60K - $99K,19400,School of Business,Business Analytics,,3,School of Business,Business Analytics,2.71,2.66,-0.05,Y,N,Y,N,0,1,0,N,N,N,1,N,Employed full-time,0.464,0.3861,0.6,0.1818,N,Tier 4 - Struggled
L2020-10253,2020,3,3.71,Test Optional,,Midwest,Public,N,$150K - $249K,44100,College of Arts & Sciences,History,,3,College of Arts & Sciences,History,3.43,3.90,0.47,Y,Y,Y,N,0,1,0,N,Y,Y,3,N,Employed full-time,0.96,0.901,1.0,0.4545,Y,Tier 1 - Thrived
L2021-10254,2021,3,3.76,Test Optional,,Mid-Atlantic,Public,N,$100K - $149K,29200,College of Arts & Sciences,Sociology,,2,College of Arts & Sciences,Sociology,2.96,3.01,0.05,Y,Y,Y,N,0,0,0,N,N,N,1,N,Graduate or professional school,0.604,0.4851,1.0,0.0,N,Tier 4 - Struggled
L2022-10255,2022,3,3.63,Submitted,1240,South,Private - Independent,N,$150K - $249K,56500,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,History,3.51,3.73,0.22,N,N,N,N,1,3,0,N,Y,N,2,N,Employed full-time,0.892,0.6535,0.15,0.8182,N,Tier 3 - Solid
L2023-10256,2023,3,3.57,Test Optional,,New England,Private - Independent,N,$150K - $249K,38300,School of Business,Finance,,4,School of Business,Finance,3.74,4.00,0.26,Y,N,Y,N,3,1,0,N,N,N,1,N,Graduate or professional school,1.0,0.6931,0.6,0.1818,N,Tier 3 - Solid
L2024-10257,2024,3,3.62,Submitted,1290,Midwest,Public,N,$150K - $249K,26500,College of Arts & Sciences,English,,5,College of Arts & Sciences,Political Science,2.51,2.73,0.22,Y,Y,Y,N,0,0,0,N,N,N,2,Y,Employed full-time,0.492,0.6535,1.0,0.0,N,Tier 3 - Solid
L2025-10258,2025,3,3.46,Submitted,1210,Mid-Atlantic,Public,N,$30K - $59K,38200,School of Engineering,Biomedical Engineering,,3,School of Engineering,Biomedical Engineering,3.06,3.42,0.36,Y,Y,Y,N,0,1,0,N,Y,N,1,N,Graduate or professional school,0.768,0.7921,1.0,0.4545,Y,Tier 1 - Thrived
